PLANT,Sanskrit/Ayurvedic Names,plant part,COMPOUND,pubchem ID,Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic,cancer type,Toxicity (LD50)mg/kg,Prediction,PROTEIN TARGET,DOI NUMBER
Andrographis paniculata,Karanja,plant,Andrographolide,5318517,Molecule 2,OCC1(C)C(O)CCC2(C1CCC(=C)C2CC=C1C(O)COC1=O)C,C20H30O5,350.45,25,0,0.75,3,5,3,95.21,86.99,2.45,2.16,1.96,1.98,2.94,2.3,-3.18,2.34E-01,6.67E-04,Soluble,-3.62,8.42E-02,2.40E-04,Soluble,-2.69,7.22E-01,2.06E-03,Soluble,High,No,Yes,No,No,No,No,No,-6.9,0,0,0,0,0,0.55,0,2,1,5.06,,1890,inactive," AG showed differential effect on cell cycle phases in LNCaP, C4-2b and PC3 cells compared to retinoblastoma protein (RB?/?) and CDKN2A lacking DU-145 cells. G2/M transition was blocked in LNCaP, C4-2b and PC3 after AG treatment whereas DU-145 cells failed to transit G1/S phase. This difference was primarily due to differential activation of cell cycle regulators in these cell lines. Levels of cyclin A2 after AG treatment increased in all PCa cells line. Cyclin B1 levels increased in LNCaP and PC3, decreased in C4-2b and showed no difference in DU-145 cells after AG treatment. AG decreased cyclin E2 levels only in PC3 and DU-145 cells. It also altered Rb, H3, Wee1 and CDC2 phosphorylation in PCa cells. Intriguingly, AG reduced cell viability and the ability of PCa cells to migrate via modulating CXCL11 and CXCR3 and CXCR7 expression. The significant impact of AG on cellular and molecular processes involved in PCa progression suggests its potential use as a therapeutic and/or preventive agent for PCa.",DOI:10.1080/15384101.2016.1148836
Andrographis paniculata,Karanja,plant  ,14-DEOXY-11-OXOANDROGRAPHOLIDE,9975052,Molecule 3,OCC1(C)C(O)CCC2(C1CCC(=C)C2C(=O)CC1=CCOC1=O)C,C20H28O5,348.43,25,0,0.7,4,5,2,94.25,83.83,2.65,2.13,2.17,1.89,3.27,2.42,-3.08,2.91E-01,8.35E-04,Soluble,-3.52,1.05E-01,3.01E-04,Soluble,-3.16,2.40E-01,6.89E-04,Soluble,High,No,Yes,No,No,No,No,No,-6.91,0,0,0,0,0,0.55,0,1,0,4.95,,5000,inactive,"reduction of apoptosis marker caspase-3, fibrosis marker TGF-?, and PAI-1. Furthermore, AP1 and AP2 do not have antioxidant ability in acellular environment; however, addition of AP1 and AP2 reduced intracellular oxidative states in high glucose cultured MES-13 cells",DOI:10.1016/j.jep.2010.07.057
Andrographis paniculata,Karanja,root,ANDROGRAPHINE,5318506,Molecule 4,COc1ccccc1c1cc(=O)c2c(o1)c(OC)c(cc2O)OC,C18H16O6,328.32,24,16,0.17,4,6,1,89.42,78.13,3.25,3.29,3.19,0.7,3.6,2.81,-4.18,2.18E-02,6.64E-05,Moderately soluble,-4.61,8.13E-03,2.48E-05,Moderately soluble,-5.91,4.03E-04,1.23E-06,Moderately soluble,High,Yes,No,Yes,No,Yes,Yes,Yes,-5.97,0,0,0,0,0,0.55,0,0,0,3.52,,NA,inactive,,
Andrographis paniculata,Karanja,plant,PANICULIDE-A,14166401,Molecule 5,COC(=O)C(CCc1c[nH]c2c1cccc2)C,C14H17NO2,231.29,17,9,0.36,5,2,1,68.58,42.09,2.49,3.2,2.91,2.22,3.63,2.89,-3.35,1.03E-01,4.45E-04,Soluble,-3.76,4.06E-02,1.75E-04,Soluble,-4.61,5.65E-03,2.44E-05,Moderately soluble,High,Yes,No,Yes,Yes,No,Yes,No,-5.44,0,0,0,0,0,0.55,0,0,1,2.31,,7,inactive,,
Andrographis paniculata,Karanja,plant,PANICULIDE-B,14070748,Molecule 6,OCC(CCc1cn(c2c1cccc2)OC)C,C14H19NO2,233.31,17,9,0.43,5,2,1,69.74,34.39,2.91,3.13,2.26,2.57,2.57,2.69,-3.32,1.12E-01,4.78E-04,Soluble,-3.52,7.02E-02,3.01E-04,Soluble,-3.67,5.01E-02,2.15E-04,Soluble,High,Yes,No,Yes,No,No,Yes,No,-5.5,0,0,0,0,0,0.55,0,0,1,2.94,,7,inactive,,
Andrographis paniculata,Karanja,plant,PANICULIDE-C,11264158,Molecule 7,OCC(CCc1c[nH]c2c1cccc2)C,C13H17NO,203.28,15,9,0.38,4,1,2,63.65,36.02,2.25,2.91,2.73,2.11,3.57,2.71,-3.11,1.56E-01,7.70E-04,Soluble,-3.33,9.57E-02,4.71E-04,Soluble,-4.36,8.79E-03,4.33E-05,Moderately soluble,High,Yes,No,Yes,No,No,Yes,No,-5.47,0,0,0,0,0,0.55,0,0,1,2.17,,400, inactive,,
Andrographis paniculata,Karanja,plant,NEOANDROGRAPHOLIDE,9848024,Molecule 8,OCC1OC(OCC2(C)CCCC3(C2CCC(=C)C3CCC2=CCOC2=O)C)C(C(C1O)O)O,C26H40O8,480.59,34,0,0.81,7,8,4,125.27,125.68,3.27,2.63,1.85,1.26,2.55,2.31,-4.01,4.65E-02,9.67E-05,Moderately soluble,-4.92,5.78E-03,1.20E-05,Moderately soluble,-2.7,9.54E-01,1.99E-03,Soluble,High,No,Yes,No,No,No,No,Yes,-7.36,0,2,0,0,0,0.55,0,1,1,6.36,,5,inactive,Neoandrographolide can occupy the surface groove of Rab5 for inhibiting its activity.,https://doi.org/10.1016/j.csbj.2020.11.033
Curcuma longa,"Haridra, Nisa (haldi)",rhizome,curcumin,969516,Molecule 9,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(c(c2)OC)O)ccc1O,C21H20O6,368.38,27,12,0.14,8,6,2,102.8,93.06,3.27,3.2,3.15,1.47,4.04,3.03,-3.94,4.22E-02,1.15E-04,Soluble,-4.83,5.50E-03,1.49E-05,Moderately soluble,-4.45,1.31E-02,3.56E-05,Moderately soluble,High,No,No,No,No,Yes,No,Yes,-6.28,0,0,0,0,0,0.55,0,2,2,2.97,,2000,inactive/active,"curcumin exerts its anticancer activity by inhibiting cell cycle progression by blocking the association of cyclin D1 with CDK4 .Curcumin participates in tumor control through multiple signaling pathways, including PI3K/Akt, JAK/STAT, MAPK, Wnt/?-catenin, p53, NF-?B and apoptosis related signaling pathways. it blocked NF-?B/cyclic AMP-dependent transcription factor ATF-4 binding and prevented OPN-induced upregulation of VEGF indicating potential in tumir angiogenesis. Curcumin helps in silencing of inflammatory cytokines, including chemokine (C-X-C motif) ligand (CXCL)1 and CXCL2 ; and to alterations in the expression of MMP-9, urokinase plasminogen activator (uPA), uPA receptor, intercellular adhesion molecule 1 and chemokine receptor 4 .",
,,rhizome,(+)-(S)-AR-TURMERONE,160512,Molecule 10,CC(=CC(=O)CC(c1ccc(cc1)C)C)C,C15H20O,216.32,16,6,0.4,4,1,0,69.75,17.07,3.12,3.98,4.02,3.68,4.38,3.84,-3.7,4.30E-02,1.99E-04,Soluble,-4.04,1.97E-02,9.13E-05,Moderately soluble,-4.45,7.76E-03,3.59E-05,Moderately soluble,High,Yes,No,No,No,No,No,No,-4.79,0,0,0,0,1,0.55,0,1,2,2.4,,2000,inactive," apoptotic effect of ar-turmerone on U937 cells may involve caspase-3 activation through the induction of Bax and p53, rather than Bcl-2 and p21.",https://doi.org/10.5483/BMBRep.2009.42.2.096
,,root,(+)-ALPHA-PHELLANDRENE,443160,Molecule 11,CC1=CCC(C=C1)C(C)C,C10H16,136.23,10,0,0.6,1,0,0,47.12,0,2.64,3.21,3.16,3.27,2.55,2.97,-2.64,3.11E-01,2.29E-03,Soluble,-2.88,1.79E-01,1.31E-03,Soluble,-1.78,2.27E+00,1.67E-02,Soluble,Low,Yes,No,No,No,No,No,No,-4.85,0,1,0,0,2,0.55,0,0,1,4.15,,5700,inactive," ?-PA and its mechanism, human liver tumor cells (J5) were incubated with ?-PA and analyzed for cell viability and the molecular regulation of pre-autophagosome origination and autophagosome formation. According to the results, PI3K-I, mTOR, and Akt protein levels were decreased after ?-PA treatment compared to those of the control group (p < 0.05). The phosphorylation of Bcl-2, and PI3K-III, LC3-II and Beclin-1 protein levels in J5 cells were increased after ?-PA treatment (p < 0.05). In addition, ?-PA up-regulated nuclear p53 and down-regulated cytoplasmic p53 expression in J5 cells. The NF-?B pathway was activated, as indicated by increase in cytosolic phosphorylated I?B, nuclear NF-?B levels, and the DNA-binding activity of NF-?B after ?-PA treatment in J5 cells (p < 0.05). These results suggest that ?-PA can induce J5 cell autophagy by regulating mTOR and LC-3II expression, p53 signaling, and NF-?B activation in J5 cells.",https://doi.org/10.1142/S0192415X15500081
